,colorIdentity,U,R,G,W,B ,None
0,U,1,0,0,0,0,0
1,R,0,1,0,0,0,0
2,G,0,0,1,0,0,0
3,GR,0,1,1,0,0,0
4,W,0,0,0,1,0,0
5,U,1,0,0,0,0,0
6,W,0,0,0,1,0,0
7,W,0,0,0,1,0,0
8,B,0,0,0,0,1,0
9,B,0,0,0,0,1,0
10,U,1,0,0,0,0,0
11,G,0,0,1,0,0,0
12,B,0,0,0,0,1,0
13,BRU,1,1,0,0,1,0
14,R,0,1,0,0,0,0
15,R,0,1,0,0,0,0
16,BGRW,0,1,1,1,1,0
17,R,0,1,0,0,0,0
18,,0,0,0,0,0,1
19,B,0,0,0,0,1,0
20,B,0,0,0,0,1,0
21,W,0,0,0,1,0,0
22,B,0,0,0,0,1,0
23,W,0,0,0,1,0,0
24,U,1,0,0,0,0,0
25,U,1,0,0,0,0,0
26,U,1,0,0,0,0,0
27,B,0,0,0,0,1,0
28,R,0,1,0,0,0,0
29,W,0,0,0,1,0,0
30,UW,1,0,0,1,0,0
31,W,0,0,0,1,0,0
32,B,0,0,0,0,1,0
33,G,0,0,1,0,0,0
34,G,0,0,1,0,0,0
35,BW,0,0,0,1,1,0
36,,0,0,0,0,0,1
37,W,0,0,0,1,0,0
38,R,0,1,0,0,0,0
39,W,0,0,0,1,0,0
40,RW,0,1,0,1,0,0
41,R,0,1,0,0,0,0
42,B,0,0,0,0,1,0
43,G,0,0,1,0,0,0
44,G,0,0,1,0,0,0
45,R,0,1,0,0,0,0
46,R,0,1,0,0,0,0
47,U,1,0,0,0,0,0
48,,0,0,0,0,0,1
49,W,0,0,0,1,0,0
50,B,0,0,0,0,1,0
51,U,1,0,0,0,0,0
52,R,0,1,0,0,0,0
53,U,1,0,0,0,0,0
54,R,0,1,0,0,0,0
55,,0,0,0,0,0,1
56,B,0,0,0,0,1,0
57,R,0,1,0,0,0,0
58,R,0,1,0,0,0,0
59,BGRUW,1,1,1,1,1,0
60,G,0,0,1,0,0,0
61,W,0,0,0,1,0,0
62,BR,0,1,0,0,1,0
63,G,0,0,1,0,0,0
64,,0,0,0,0,0,1
65,W,0,0,0,1,0,0
66,,0,0,0,0,0,1
67,,0,0,0,0,0,1
68,BU,1,0,0,0,1,0
69,,0,0,0,0,0,1
70,GR,0,1,1,0,0,0
71,G,0,0,1,0,0,0
72,G,0,0,1,0,0,0
73,R,0,1,0,0,0,0
74,B,0,0,0,0,1,0
75,G,0,0,1,0,0,0
76,,0,0,0,0,0,1
77,BG,0,0,1,0,1,0
78,W,0,0,0,1,0,0
79,UW,1,0,0,1,0,0
80,B,0,0,0,0,1,0
81,U,1,0,0,0,0,0
82,B,0,0,0,0,1,0
83,B,0,0,0,0,1,0
84,U,1,0,0,0,0,0
85,U,1,0,0,0,0,0
86,B,0,0,0,0,1,0
87,W,0,0,0,1,0,0
88,,0,0,0,0,0,1
89,B,0,0,0,0,1,0
90,B,0,0,0,0,1,0
91,W,0,0,0,1,0,0
92,B,0,0,0,0,1,0
93,G,0,0,1,0,0,0
94,B,0,0,0,0,1,0
95,W,0,0,0,1,0,0
96,U,1,0,0,0,0,0
97,B,0,0,0,0,1,0
98,B,0,0,0,0,1,0
99,,0,0,0,0,0,1
100,BR,0,1,0,0,1,0
101,B,0,0,0,0,1,0
102,BW,0,0,0,1,1,0
103,RW,0,1,0,1,0,0
104,R,0,1,0,0,0,0
105,G,0,0,1,0,0,0
106,U,1,0,0,0,0,0
107,G,0,0,1,0,0,0
108,U,1,0,0,0,0,0
109,R,0,1,0,0,0,0
110,G,0,0,1,0,0,0
111,U,1,0,0,0,0,0
112,UW,1,0,0,1,0,0
113,B,0,0,0,0,1,0
114,,0,0,0,0,0,1
115,G,0,0,1,0,0,0
116,G,0,0,1,0,0,0
117,,0,0,0,0,0,1
118,,0,0,0,0,0,1
119,R,0,1,0,0,0,0
120,W,0,0,0,1,0,0
122,BU,1,0,0,0,1,0
123,RU,1,1,0,0,0,0
124,G,0,0,1,0,0,0
125,,0,0,0,0,0,1
126,BG,0,0,1,0,1,0
127,B,0,0,0,0,1,0
128,,0,0,0,0,0,1
129,BU,1,0,0,0,1,0
130,G,0,0,1,0,0,0
131,R,0,1,0,0,0,0
132,B,0,0,0,0,1,0
133,,0,0,0,0,0,1
134,U,1,0,0,0,0,0
135,U,1,0,0,0,0,0
136,GR,0,1,1,0,0,0
137,,0,0,0,0,0,1
138,R,0,1,0,0,0,0
139,G,0,0,1,0,0,0
140,UW,1,0,0,1,0,0
141,U,1,0,0,0,0,0
143,BU,1,0,0,0,1,0
144,B,0,0,0,0,1,0
145,R,0,1,0,0,0,0
146,B,0,0,0,0,1,0
147,GW,0,0,1,1,0,0
148,W,0,0,0,1,0,0
149,G,0,0,1,0,0,0
150,B,0,0,0,0,1,0
151,G,0,0,1,0,0,0
152,U,1,0,0,0,0,0
153,BU,1,0,0,0,1,0
154,R,0,1,0,0,0,0
155,R,0,1,0,0,0,0
156,B,0,0,0,0,1,0
157,G,0,0,1,0,0,0
158,R,0,1,0,0,0,0
159,BU,1,0,0,0,1,0
160,RUW,1,1,0,1,0,0
161,G,0,0,1,0,0,0
162,,0,0,0,0,0,1
163,U,1,0,0,0,0,0
164,G,0,0,1,0,0,0
165,,0,0,0,0,0,1
166,R,0,1,0,0,0,0
167,G,0,0,1,0,0,0
168,,0,0,0,0,0,1
169,W,0,0,0,1,0,0
170,UW,1,0,0,1,0,0
171,G,0,0,1,0,0,0
172,B,0,0,0,0,1,0
173,,0,0,0,0,0,1
174,BGU,1,0,1,0,1,0
175,B,0,0,0,0,1,0
176,,0,0,0,0,0,1
177,B,0,0,0,0,1,0
178,GU,1,0,1,0,0,0
179,GR,0,1,1,0,0,0
180,G,0,0,1,0,0,0
181,,0,0,0,0,0,1
182,,0,0,0,0,0,1
183,W,0,0,0,1,0,0
184,B,0,0,0,0,1,0
185,GU,1,0,1,0,0,0
186,G,0,0,1,0,0,0
187,,0,0,0,0,0,1
188,GU,1,0,1,0,0,0
189,G,0,0,1,0,0,0
190,U,1,0,0,0,0,0
191,R,0,1,0,0,0,0
192,B,0,0,0,0,1,0
193,R,0,1,0,0,0,0
194,BG,0,0,1,0,1,0
196,U,1,0,0,0,0,0
197,W,0,0,0,1,0,0
198,,0,0,0,0,0,1
199,B,0,0,0,0,1,0
200,R,0,1,0,0,0,0
201,B,0,0,0,0,1,0
202,U,1,0,0,0,0,0
203,B,0,0,0,0,1,0
204,,0,0,0,0,0,1
205,W,0,0,0,1,0,0
206,W,0,0,0,1,0,0
207,GW,0,0,1,1,0,0
208,B,0,0,0,0,1,0
209,U,1,0,0,0,0,0
210,,0,0,0,0,0,1
211,R,0,1,0,0,0,0
212,R,0,1,0,0,0,0
213,U,1,0,0,0,0,0
214,GUW,1,0,1,1,0,0
215,G,0,0,1,0,0,0
216,U,1,0,0,0,0,0
217,R,0,1,0,0,0,0
218,R,0,1,0,0,0,0
219,G,0,0,1,0,0,0
220,,0,0,0,0,0,1
222,W,0,0,0,1,0,0
223,W,0,0,0,1,0,0
224,,0,0,0,0,0,1
225,G,0,0,1,0,0,0
226,,0,0,0,0,0,1
227,UW,1,0,0,1,0,0
228,R,0,1,0,0,0,0
229,B,0,0,0,0,1,0
230,B,0,0,0,0,1,0
231,G,0,0,1,0,0,0
232,BG,0,0,1,0,1,0
233,B,0,0,0,0,1,0
234,RW,0,1,0,1,0,0
235,U,1,0,0,0,0,0
236,W,0,0,0,1,0,0
237,,0,0,0,0,0,1
238,G,0,0,1,0,0,0
239,B,0,0,0,0,1,0
240,,0,0,0,0,0,1
241,BU,1,0,0,0,1,0
242,W,0,0,0,1,0,0
243,U,1,0,0,0,0,0
244,GR,0,1,1,0,0,0
245,,0,0,0,0,0,1
246,R,0,1,0,0,0,0
247,G,0,0,1,0,0,0
248,BU,1,0,0,0,1,0
249,R,0,1,0,0,0,0
251,RW,0,1,0,1,0,0
252,W,0,0,0,1,0,0
253,B,0,0,0,0,1,0
254,W,0,0,0,1,0,0
255,U,1,0,0,0,0,0
256,G,0,0,1,0,0,0
257,W,0,0,0,1,0,0
258,B,0,0,0,0,1,0
259,,0,0,0,0,0,1
260,R,0,1,0,0,0,0
261,B,0,0,0,0,1,0
262,B,0,0,0,0,1,0
263,U,1,0,0,0,0,0
265,GW,0,0,1,1,0,0
266,B,0,0,0,0,1,0
267,R,0,1,0,0,0,0
268,B,0,0,0,0,1,0
269,W,0,0,0,1,0,0
270,W,0,0,0,1,0,0
271,GW,0,0,1,1,0,0
272,U,1,0,0,0,0,0
273,G,0,0,1,0,0,0
274,,0,0,0,0,0,1
275,G,0,0,1,0,0,0
276,GR,0,1,1,0,0,0
277,R,0,1,0,0,0,0
278,U,1,0,0,0,0,0
279,B,0,0,0,0,1,0
280,R,0,1,0,0,0,0
281,GW,0,0,1,1,0,0
282,W,0,0,0,1,0,0
283,B,0,0,0,0,1,0
284,B,0,0,0,0,1,0
285,,0,0,0,0,0,1
286,R,0,1,0,0,0,0
287,G,0,0,1,0,0,0
288,GRW,0,1,1,1,0,0
289,GU,1,0,1,0,0,0
290,,0,0,0,0,0,1
291,RW,0,1,0,1,0,0
292,G,0,0,1,0,0,0
293,U,1,0,0,0,0,0
294,R,0,1,0,0,0,0
295,,0,0,0,0,0,1
296,,0,0,0,0,0,1
297,BU,1,0,0,0,1,0
299,U,1,0,0,0,0,0
300,R,0,1,0,0,0,0
301,B,0,0,0,0,1,0
302,B,0,0,0,0,1,0
303,,0,0,0,0,0,1
305,W,0,0,0,1,0,0
306,UW,1,0,0,1,0,0
307,G,0,0,1,0,0,0
308,R,0,1,0,0,0,0
309,U,1,0,0,0,0,0
310,GRW,0,1,1,1,0,0
311,,0,0,0,0,0,1
312,,0,0,0,0,0,1
313,U,1,0,0,0,0,0
314,R,0,1,0,0,0,0
315,R,0,1,0,0,0,0
316,UW,1,0,0,1,0,0
317,W,0,0,0,1,0,0
318,R,0,1,0,0,0,0
319,W,0,0,0,1,0,0
320,U,1,0,0,0,0,0
321,G,0,0,1,0,0,0
323,U,1,0,0,0,0,0
324,W,0,0,0,1,0,0
325,,0,0,0,0,0,1
326,W,0,0,0,1,0,0
327,W,0,0,0,1,0,0
328,W,0,0,0,1,0,0
329,U,1,0,0,0,0,0
330,W,0,0,0,1,0,0
331,,0,0,0,0,0,1
332,RU,1,1,0,0,0,0
333,U,1,0,0,0,0,0
334,W,0,0,0,1,0,0
335,B,0,0,0,0,1,0
336,GW,0,0,1,1,0,0
337,R,0,1,0,0,0,0
338,W,0,0,0,1,0,0
339,W,0,0,0,1,0,0
340,R,0,1,0,0,0,0
341,GW,0,0,1,1,0,0
342,G,0,0,1,0,0,0
343,,0,0,0,0,0,1
344,R,0,1,0,0,0,0
345,G,0,0,1,0,0,0
346,G,0,0,1,0,0,0
347,B,0,0,0,0,1,0
348,G,0,0,1,0,0,0
349,W,0,0,0,1,0,0
350,R,0,1,0,0,0,0
351,W,0,0,0,1,0,0
352,B,0,0,0,0,1,0
353,,0,0,0,0,0,1
354,U,1,0,0,0,0,0
355,,0,0,0,0,0,1
356,W,0,0,0,1,0,0
357,G,0,0,1,0,0,0
358,U,1,0,0,0,0,0
359,B,0,0,0,0,1,0
360,U,1,0,0,0,0,0
362,B,0,0,0,0,1,0
364,,0,0,0,0,0,1
365,U,1,0,0,0,0,0
366,B,0,0,0,0,1,0
367,,0,0,0,0,0,1
368,BU,1,0,0,0,1,0
369,W,0,0,0,1,0,0
370,G,0,0,1,0,0,0
371,R,0,1,0,0,0,0
372,U,1,0,0,0,0,0
373,W,0,0,0,1,0,0
374,R,0,1,0,0,0,0
375,R,0,1,0,0,0,0
376,,0,0,0,0,0,1
377,G,0,0,1,0,0,0
378,BGUW,1,0,1,1,1,0
379,G,0,0,1,0,0,0
380,U,1,0,0,0,0,0
381,BW,0,0,0,1,1,0
382,B,0,0,0,0,1,0
383,U,1,0,0,0,0,0
384,W,0,0,0,1,0,0
385,G,0,0,1,0,0,0
386,BRU,1,1,0,0,1,0
387,,0,0,0,0,0,1
388,G,0,0,1,0,0,0
389,U,1,0,0,0,0,0
390,BR,0,1,0,0,1,0
391,U,1,0,0,0,0,0
392,UW,1,0,0,1,0,0
393,GU,1,0,1,0,0,0
394,BR,0,1,0,0,1,0
395,RU,1,1,0,0,0,0
396,BR,0,1,0,0,1,0
397,W,0,0,0,1,0,0
398,U,1,0,0,0,0,0
399,R,0,1,0,0,0,0
400,,0,0,0,0,0,1
401,,0,0,0,0,0,1
402,R,0,1,0,0,0,0
403,G,0,0,1,0,0,0
405,B,0,0,0,0,1,0
406,R,0,1,0,0,0,0
407,BR,0,1,0,0,1,0
408,GR,0,1,1,0,0,0
409,BUW,1,0,0,1,1,0
410,W,0,0,0,1,0,0
411,W,0,0,0,1,0,0
412,GW,0,0,1,1,0,0
413,U,1,0,0,0,0,0
415,U,1,0,0,0,0,0
416,,0,0,0,0,0,1
417,G,0,0,1,0,0,0
419,G,0,0,1,0,0,0
420,BGR,0,1,1,0,1,0
421,W,0,0,0,1,0,0
422,R,0,1,0,0,0,0
423,BU,1,0,0,0,1,0
424,G,0,0,1,0,0,0
425,R,0,1,0,0,0,0
426,BG,0,0,1,0,1,0
427,B,0,0,0,0,1,0
428,BW,0,0,0,1,1,0
429,,0,0,0,0,0,1
430,GU,1,0,1,0,0,0
431,GW,0,0,1,1,0,0
432,R,0,1,0,0,0,0
433,W,0,0,0,1,0,0
434,,0,0,0,0,0,1
435,R,0,1,0,0,0,0
436,,0,0,0,0,0,1
439,B,0,0,0,0,1,0
440,,0,0,0,0,0,1
441,R,0,1,0,0,0,0
442,W,0,0,0,1,0,0
443,GW,0,0,1,1,0,0
444,B,0,0,0,0,1,0
445,U,1,0,0,0,0,0
446,,0,0,0,0,0,1
447,UW,1,0,0,1,0,0
448,R,0,1,0,0,0,0
449,G,0,0,1,0,0,0
450,R,0,1,0,0,0,0
451,G,0,0,1,0,0,0
452,W,0,0,0,1,0,0
453,,0,0,0,0,0,1
454,,0,0,0,0,0,1
455,W,0,0,0,1,0,0
456,,0,0,0,0,0,1
457,R,0,1,0,0,0,0
458,,0,0,0,0,0,1
459,,0,0,0,0,0,1
460,B,0,0,0,0,1,0
461,G,0,0,1,0,0,0
462,,0,0,0,0,0,1
