Deck link,Deck list
https://www.mtgtop8.com/event?e=39364&d=493151&f=HI,"2 Strangle
2 Voltage Surge
2 Karn, the Great Creator
2 Kiora, Behemoth Beckoner
3 Nettlecyst
3 Moonsnare Prototype
4 Retrofitter Foundry
4 Metallic Rebuke
4 Yotia Declares War
4 Ornithopter
4 Thought Monitor
1 Mountain
1 Island
4 Silverbluff Bridge
4 Darksteel Citadel
4 Steam Vents
4 Shivan Reef
4 Spire of Industry
4 Plains
Sideboard
1 Sai, Master Thopterist
1 Shadowspear
1 Grafdigger's Cage
1 Pithing Needle
1 Saheeli Rai
1 Karn, Scion of Urza
1 Test of Talents
1 Spell Pierce
1 Jegantha, the Wellspring
1 Damping Sphere
2 Unlicensed Hearse
1 Nettlecyst
2 Plains
"
https://www.mtgtop8.com/event?e=39364&d=493150&f=HI,"2 Kari Zev, Skyship Raider
2 Goblin Chainwhirler
3 Torbran, Thane of Red Fell
4 Kumano Faces Kakkazan
4 Bonecrusher Giant
4 Robber of the Rich
4 Anax, Hardened in the Forge
4 Fanatical Firebrand
4 Burning-Tree Emissary
4 Embercleave
1 Roiling Vortex
1 Sokenzan, Crucible of Defiance
2 Castle Embereth
3 Den of the Bugbear
4 Ramunap Ruins
14 Mountain
Sideboard
1 Goblin Chainwhirler
3 Roiling Vortex
2 Burning Hands
2 Unlicensed Hearse
2 Weathered Runestone
2 Abrade
3 Lava Coil
"
https://www.mtgtop8.com/event?e=39257&d=492409&f=HI,"1 Kari Zev, Skyship Raider
3 Rampaging Ferocidon
3 Anax, Hardened in the Forge
3 Torbran, Thane of Red Fell
4 Bonecrusher Giant
4 Robber of the Rich
4 Burning-Tree Emissary
4 Kumano Faces Kakkazan
4 Goblin Chainwhirler
4 Fanatical Firebrand
2 Embercleave
1 Castle Embereth
3 Den of the Bugbear
4 Ramunap Ruins
16 Mountain
Sideboard
1 Magma Spray
2 Barge In
3 Lava Coil
3 Roiling Vortex
3 Abrade
3 Play with Fire
"
https://www.mtgtop8.com/event?e=39257&d=492410&f=HI,"3 Ornithopter
4 Thought Monitor
4 Esper Sentinel
4 Ingenious Smith
1 Shadowspear
4 Retrofitter Foundry
4 Portable Hole
4 Nettlecyst
4 Moonsnare Prototype
4 Metallic Rebuke
2 Karn, Scion of Urza
1 Plains
1 Otawara, Soaring City
2 Razortide Bridge
2 Deserted Beach
4 Hengegate Pathway
4 Darksteel Citadel
4 Hallowed Fountain
4 Spire of Industry
Sideboard
1 Karn, Scion of Urza
1 Unlicensed Hearse
1 Skysovereign, Consul Flagship
1 Mystical Dispute
2 Soul-Guide Lantern
2 Sai, Master Thopterist
3 Dovin's Veto
4 Glass Casket
"
https://www.mtgtop8.com/event?e=39257&d=492411&f=HI,"1 Rhonas the Indomitable
4 Lovestruck Beast
4 Old-Growth Troll
4 Llanowar Elves
4 Steel Leaf Champion
4 Scavenging Ooze
4 Werewolf Pack Leader
4 Elvish Mystic
2 The Great Henge
4 Collected Company
2 Primal Might
2 Boseiju, Who Endures
2 Hashep Oasis
2 Lair of the Hydra
2 Castle Garenbrig
15 Forest
Sideboard
2 Primal Might
1 Questing Beast
1 Tamiyo's Safekeeping
2 Shifting Ceratops
2 Unlicensed Hearse
2 Kraul Harpooner
2 Heroic Intervention
3 Outland Liberator
"
https://www.mtgtop8.com/event?e=39257&d=492412&f=HI,"1 Kari Zev, Skyship Raider
2 Torbran, Thane of Red Fell
3 Goblin Chainwhirler
4 Anax, Hardened in the Forge
4 Burning-Tree Emissary
4 Fanatical Firebrand
4 Robber of the Rich
4 Bonecrusher Giant
4 Kumano Faces Kakkazan
4 Runaway Steam-Kin
3 Embercleave
1 Sokenzan, Crucible of Defiance
1 Den of the Bugbear
3 Castle Embereth
4 Ramunap Ruins
14 Mountain
Sideboard
1 Legion Warboss
1 Chandra, Acolyte of Flame
1 Chandra, Torch of Defiance
1 Roiling Vortex
2 Curse of Shaken Faith
3 Lava Coil
3 Rampaging Ferocidon
3 Fry
"
https://www.mtgtop8.com/event?e=39293&d=492583&f=HI,"4 Dragon's Rage Channeler
2 Unholy Heat
4 Arclight Phoenix
2 Island
4 Ledger Shredder
2 Ox of Agonas
4 Opt
4 Consider
4 Expressive Iteration
2 Lightning Axe
4 Faithless Looting
1 Spikefield Hazard
1 Otawara, Soaring City
2 Hall of Storm Giants
1 Sokenzan, Crucible of Defiance
4 Spirebluff Canal
4 Steam Vents
4 Riverglide Pathway
2 Stormcarved Coast
2 Finale of Promise
1 Founding the Third Path
2 Strangle
Sideboard
1 Strangle
1 Abrade
1 Aether Gust
1 Young Pyromancer
1 Unlicensed Hearse
1 Narset, Parter of Veils
1 Negate
3 Mystical Dispute
2 Crackling Drake
1 Sweltering Suns
2 Shatterstorm
"
https://www.mtgtop8.com/event?e=39293&d=492587&f=HI,"1 Fragment Reality
1 Mana Tithe
2 Glass Casket
2 Barbed Spike
4 Retrofitter Foundry
4 Michiko's Reign of Truth
4 Portable Hole
4 Yotia Declares War
1 Lurrus of the Dream-Den
4 Ornithopter
4 Esper Sentinel
4 Ingenious Smith
4 Bomat Courier
1 Eiganjo, Seat of the Empire
2 Spire of Industry
3 Plains
4 Darksteel Citadel
4 Inspiring Vantage
4 Needleverge Pathway
4 Sacred Foundry
Sideboard
2 Unlicensed Hearse
3 By Force
4 Hushbringer
1 Fragment Reality
2 Mana Tithe
2 Glass Casket
1 Lurrus of the Dream-Den
"
https://www.mtgtop8.com/event?e=39293&d=492582&f=HI,"4 Dragon's Rage Channeler
2 Unholy Heat
4 Arclight Phoenix
2 Island
4 Ledger Shredder
2 Ox of Agonas
4 Opt
4 Consider
4 Expressive Iteration
2 Lightning Axe
4 Faithless Looting
1 Spikefield Hazard
1 Otawara, Soaring City
2 Hall of Storm Giants
1 Sokenzan, Crucible of Defiance
4 Spirebluff Canal
4 Steam Vents
4 Riverglide Pathway
2 Stormcarved Coast
2 Finale of Promise
1 Founding the Third Path
2 Strangle
Sideboard
1 Strangle
1 Abrade
1 Aether Gust
1 Young Pyromancer
1 Unlicensed Hearse
1 Narset, Parter of Veils
1 Negate
3 Mystical Dispute
2 Crackling Drake
1 Sweltering Suns
2 Shatterstorm
"
https://www.mtgtop8.com/event?e=39293&d=492589&f=HI,"3 Symmetry Sage
4 Opt
3 Unholy Heat
4 Dragon's Rage Channeler
4 Ledger Shredder
4 Arclight Phoenix
1 Ox of Agonas
4 Consider
2 Pillar of Flame
4 Faithless Looting
4 Expressive Iteration
1 Island
4 Spirebluff Canal
4 Riverglide Pathway
1 Den of the Bugbear
1 Hall of Storm Giants
4 Stormcarved Coast
4 Steam Vents
1 Sokenzan, Crucible of Defiance
1 Otawara, Soaring City
1 Crackling Drake
1 Lightning Axe
Sideboard
1 Chandra, Torch of Defiance
1 Brazen Borrower
2 Negate
2 Abrade
1 Anger of the Gods
1 Shatterstorm
1 Fry
3 Mystical Dispute
1 By Force
2 Unlicensed Hearse
"
