Deck link,Deck list
https://www.mtgtop8.com/event?e=39405&d=493449&f=LE,"2 Chancellor of the Annex
4 Griselbrand
4 Unmask
4 Exhume
3 Bloodstained Mire
4 Lotus Petal
4 Animate Dead
1 Scrubland
2 Archon of Cruelty
2 Swamp
3 Grief
1 Serra's Emissary
2 Verdant Catacombs
2 Badlands
2 Thoughtseize
4 Reanimate
1 Underground Sea
4 Faithless Looting
4 Dark Ritual
3 Polluted Delta
4 Entomb
Sideboard
2 Thoughtseize
3 Show and Tell
4 Serenity
1 Massacre
2 Leyline of the Void
3 Silence
"
https://www.mtgtop8.com/event?e=39405&d=493448&f=LE,"3 Trinisphere
3 Den of the Bugbear
4 Chalice of the Void
4 Ancient Tomb
2 Dead / Gone
4 Shatterskull Smashing
4 Chrome Mox
4 Simian Spirit Guide
4 Fable of the Mirror-Breaker
2 Unlicensed Hearse
2 Fury
4 City of Traitors
4 Snow-Covered Mountain
1 Sokenzan, Crucible of Defiance
4 Legion Warboss
1 Squee, Dubious Monarch
4 Blood Moon
4 Goblin Rabblemaster
2 Caves of Chaos Adventurer
Sideboard
2 Dead / Gone
2 Fury
1 Caves of Chaos Adventurer
2 Maddening Hex
2 Pyroblast
4 Leyline of the Void
2 Fiery Confluence
"
https://www.mtgtop8.com/event?e=39405&d=493450&f=LE,"2 Edge of Autumn
4 Force of Will
2 Scalding Tarn
1 Pact of Negation
4 Underground Sea
1 Watery Grave
2 Street Wraith
1 Cavern of Souls
2 Flooded Strand
2 Thassa's Oracle
4 Brainstorm
4 Doomsday
1 Deep Analysis
1 Lion's Eye Diamond
3 Lotus Petal
1 Thoughtseize
4 Dark Ritual
3 Polluted Delta
1 Consider
3 Personal Tutor
2 Misty Rainforest
4 Daze
4 Ponder
1 Ideas Unbound
2 Duress
1 Island
Sideboard
2 Duress
2 Baleful Strix
1 Mystical Dispute
1 Chain of Vapor
1 Hydroblast
1 Flusterstorm
4 Force of Negation
1 Spell Pierce
1 Relic of Progenitus
1 Massacre
"
https://www.mtgtop8.com/event?e=39405&d=493451&f=LE,"2 Endurance
3 Thespian's Stage
1 Shadowspear
1 Forest
2 Punishing Fire
1 Pithing Needle
1 Windswept Heath
4 Life from the Loam
4 Wasteland
1 Blast Zone
1 Ancient Tomb
2 Sylvan Library
2 Rishadan Port
1 Crucible of Worlds
2 Maze of Ith
1 Karakas
1 The Tabernacle at Pendrell Vale
4 Mox Diamond
2 Taiga
3 Grove of the Burnwillows
4 Exploration
1 Boseiju, Who Endures
1 Expedition Map
1 Bojuka Bog
4 Urza's Saga
1 Ghost Quarter
3 Dark Depths
1 Wooded Foothills
4 Crop Rotation
1 Yavimaya, Cradle of Growth
Sideboard
1 Endurance
3 Force of Vigor
1 Red Elemental Blast
2 Minsc & Boo, Timeless Heroes
1 Pyroblast
1 Thran Foundry
4 Sphere of Resistance
2 Lightning Bolt
"
https://www.mtgtop8.com/event?e=39405&d=493453&f=LE,"2 Hymn to Tourach
2 Inquisition of Kozilek
2 Snuff Out
3 Liliana of the Veil
4 Thoughtseize
4 Fatal Push
4 Dark Ritual
2 Murderous Rider
3 Rotting Regisaur
3 Tourach, Dread Cantor
3 Opposition Agent
4 Dark Confidant
4 Dauthi Voidwalker
2 Castle Locthwain
4 Wasteland
14 Swamp
Sideboard
4 Leyline of the Void
1 Bitterblossom
1 Engineered Explosives
2 Sudden Edict
3 Plague Engineer
2 Null Rod
2 Helm of Obedience
"
https://www.mtgtop8.com/event?e=39405&d=493454&f=LE,"1 Ramunap Excavator
4 Swords to Plowshares
4 Knight of the Reliquary
1 Plateau
4 Noble Hierarch
1 Kaldra Compleat
1 Karakas
3 Mother of Runes
4 Green Sun's Zenith
2 Endurance
1 Verdant Catacombs
4 Windswept Heath
2 Taiga
3 Grove of the Burnwillows
2 Wooded Foothills
1 Dryad Arbor
1 Horizon Canopy
1 Umezawa's Jitte
2 Once Upon a Time
2 Sylvan Library
1 Collector Ouphe
3 Punishing Fire
1 Misty Rainforest
1 Hexdrinker
4 Wasteland
2 Savannah
3 Stoneforge Mystic
1 Forest
Sideboard
2 Red Elemental Blast
3 Surgical Extraction
3 Deafening Silence
1 Gaddock Teeg
2 Fiery Justice
2 Knight of Autumn
2 Choke
"
https://www.mtgtop8.com/event?e=39405&d=493455&f=LE,"2 Minsc & Boo, Timeless Heroes
2 Teferi, Time Raveler
3 Expressive Iteration
3 Prismatic Ending
3 Leyline Binding
4 Force of Will
4 Chalice of the Void
1 Titania, Protector of Argoth
2 Endurance
3 Fury
3 Omnath, Locus of Creation
4 Risen Reef
4 Solitude
1 Flooded Strand
1 Taiga
1 Plateau
1 Ketria Triome
1 Savannah
1 Karakas
1 Raugrin Triome
1 Tundra
2 Cavern of Souls
2 Tropical Island
2 Volcanic Island
4 Scalding Tarn
4 Misty Rainforest
Sideboard
1 Hurkyl's Recall
1 Force of Vigor
1 Kaheera, the Orphanguard
1 Meltdown
2 Narset, Parter of Veils
2 Hydroblast
1 Mystical Dispute
1 Kozilek's Return
1 Rest in Peace
1 Flusterstorm
1 Shatterstorm
1 Stony Silence
1 Leyline Binding
"
https://www.mtgtop8.com/event?e=39405&d=493452&f=LE,"2 Force of Negation
2 Fire / Ice
2 Minsc & Boo, Timeless Heroes
3 Crashing Footfalls
4 Leyline Binding
4 Violent Outburst
4 Force of Will
2 Uro, Titan of Nature's Wrath
4 Brazen Borrower
4 Simian Spirit Guide
4 Shardless Agent
4 Elvish Spirit Guide
1 Taiga
1 Plateau
1 Savannah
2 Tropical Island
2 Tundra
2 Volcanic Island
4 Scalding Tarn
4 Flooded Strand
4 Misty Rainforest
Sideboard
4 Mindbreak Trap
2 Fury
1 Containment Priest
4 Endurance
2 Force of Vigor
2 Collector Ouphe
"
https://www.mtgtop8.com/event?e=39452&d=493812&f=LE,"4 Aether Vial
1 Batterskull
1 Cathar Commando
2 Eiganjo, Seat of the Empire
1 Ethersworn Canonist
2 Field of Ruin
2 Flagstones of Trokair
3 Flickerwisp
1 Kaldra Compleat
4 Karakas
1 Lion Sash
4 Mother of Runes
15 Plains
4 Recruiter of the Guard
4 Rishadan Port
1 Sanctum Prelate
3 Skyclave Apparition
4 Solitude
4 Spirit of the Labyrinth
4 Stoneforge Mystic
4 Swords to Plowshares
4 Thalia, Guardian of Thraben
2 Timeless Dragon
1 Umezawa's Jitte
4 Wasteland
Sideboard
2 Cataclysm
1 Containment Priest
2 Council's Judgment
3 Deafening Silence
1 Kataki, War's Wage
1 Peacekeeper
2 Rest in Peace
2 Surgical Extraction
1 Yorion, Sky Nomad
"
https://www.mtgtop8.com/event?e=39452&d=493814&f=LE,"4 Aether Vial
1 Ancient Tomb
1 Batterskull
1 Cathar Commando
1 Eiganjo, Seat of the Empire
1 Extraction Specialist
2 Field of Ruin
3 Flagstones of Trokair
3 Flickerwisp
1 Kaldra Compleat
3 Karakas
1 Lion Sash
4 Mother of Runes
14 Plains
4 Recruiter of the Guard
1 Remorseful Cleric
4 Rishadan Port
1 Sanctum Prelate
3 Skyclave Apparition
4 Solitude
4 Spirit of the Labyrinth
4 Stoneforge Mystic
4 Swords to Plowshares
4 Thalia, Guardian of Thraben
2 Timeless Dragon
1 Umezawa's Jitte
4 Wasteland
Sideboard
2 Cataclysm
1 Containment Priest
1 Council's Judgment
3 Deafening Silence
1 Ethersworn Canonist
1 Kataki, War's Wage
1 Peacekeeper
2 Rest in Peace
2 Surgical Extraction
1 Yorion, Sky Nomad
"
