Deck link,Deck list
https://www.mtgtop8.com/event?e=39391&d=493352&f=MO,"4 Archon of Cruelty
4 Arid Mesa
2 Blood Crypt
4 Bloodstained Mire
4 Dwarven Mine
4 Fable of the Mirror-Breaker
4 Hard Evidence
4 Indomitable Creativity
4 Lightning Bolt
1 Mountain
4 Persist
3 Prismari Command
3 Scalding Tarn
2 Steam Vents
1 Swamp
4 Tainted Indulgence
4 Thoughtseize
1 Transmogrify
2 Wooded Foothills
1 Xander's Lounge
Sideboard
2 Collective Brutality
1 Emrakul, the Aeons Torn
2 Fatal Push
1 Flusterstorm
3 Leyline of the Void
1 Slaughter Games
3 Spell Pierce
2 Unmoored Ego
"
https://www.mtgtop8.com/event?e=39391&d=493354&f=MO,"1 Teferi, Time Raveler
2 Dromoka's Command
4 Stubborn Denial
4 Tribal Flames
4 Lightning Bolt
4 Leyline Binding
4 Territorial Kavu
4 Scion of Draco
4 Wild Nacatl
4 Ragavan, Nimble Pilferer
4 Nishoba Brawler
1 Forest
1 Overgrown Tomb
1 Plains
1 Sacred Foundry
1 Savai Triome
1 Steam Vents
1 Breeding Pool
1 Temple Garden
1 Zagoth Triome
4 Windswept Heath
4 Wooded Foothills
4 Flooded Strand
Sideboard
2 Wear / Tear
2 Veil of Summer
1 Unlicensed Hearse
2 Rest in Peace
1 Jegantha, the Wellspring
2 Hidetsugu Consumes All
2 Fury
2 Flusterstorm
1 Teferi, Time Raveler
"
https://www.mtgtop8.com/event?e=39391&d=493358&f=MO,"2 Blood Crypt
4 Bloodstained Mire
4 Death's Shadow
3 Dragon's Rage Channeler
4 Drown in the Loch
4 Expressive Iteration
2 Fatal Push
2 Inquisition of Kozilek
1 Kroxa, Titan of Death's Hunger
4 Ledger Shredder
4 Mishra's Bauble
4 Polluted Delta
4 Ragavan, Nimble Pilferer
3 Scalding Tarn
2 Steam Vents
2 Swamp
1 Terminate
4 Thoughtseize
4 Unholy Heat
2 Watery Grave
Sideboard
1 Terminate
2 Dress Down
2 Engineered Explosives
1 Flusterstorm
1 Jegantha, the Wellspring
1 Kolaghan's Command
1 Mystical Dispute
3 Spell Pierce
1 Tourach, Dread Cantor
2 Unlicensed Hearse
"
https://www.mtgtop8.com/event?e=39391&d=493359&f=MO,"4 Amulet of Vigor
4 Arboreal Grazer
2 Azusa, Lost but Seeking
1 Bojuka Bog
1 Boros Garrison
1 Boseiju, Who Endures
2 Castle Garenbrig
4 Cavern of Souls
1 Cultivator Colossus
4 Dryad of the Ilysian Grove
1 Expedition Map
2 Explore
4 Forest
2 Gruul Turf
4 Primeval Titan
1 Radiant Fountain
1 Relic of Progenitus
2 Selesnya Sanctuary
4 Simic Growth Chamber
1 Slayers' Stronghold
4 Summoner's Pact
1 Sunhome, Fortress of the Legion
2 Tolaria West
4 Urza's Saga
2 Valakut, the Molten Pinnacle
1 Vesuva
Sideboard
2 Boseiju, Who Endures
3 Dismember
1 Emrakul, the Promised End
3 Endurance
2 Engineered Explosives
2 Force of Vigor
2 Inferno Titan
"
https://www.mtgtop8.com/event?e=39391&d=493353&f=MO,"2 Academy Manufactor
4 Aether Vial
2 Arid Mesa
4 Asmoranomardicadaistinaculdacar
2 Cavern of Souls
1 Dispatch
4 Esper Sentinel
2 Ethersworn Canonist
3 Hallowed Fountain
4 Ingenious Smith
3 Inspiring Vantage
4 Marsh Flats
1 Memnite
3 Ovalchase Daredevil
2 Plains
2 Portable Hole
1 Sacred Foundry
1 Shadowspear
1 Springleaf Drum
4 Street Wraith
4 The Underworld Cookbook
2 Urza, Lord High Artificer
4 Urza's Saga
Sideboard
2 Dispatch
2 Alpine Moon
2 Chalice of the Void
1 Emrakul, the Aeons Torn
2 Pithing Needle
3 Rest in Peace
1 Soul-Guide Lantern
2 Wear / Tear
"
https://www.mtgtop8.com/event?e=39391&d=493356&f=MO,"4 Architects of Will
3 Botanical Sanctum
1 Brazen Borrower
2 Breeding Pool
1 Colossal Skyturtle
4 Curator of Mysteries
4 Force of Negation
1 Forest
4 Grief
1 Island
3 Living End
4 Misty Rainforest
1 Otawara, Soaring City
1 Scalding Tarn
4 Shardless Agent
2 Spirebluff Canal
2 Steam Vents
4 Street Wraith
4 Striped Riverwinder
1 Sunken Ruins
4 Violent Outburst
4 Waker of Waves
1 Wooded Foothills
Sideboard
1 Living End
1 Boseiju, Who Endures
2 Dead / Gone
2 Endurance
2 Force of Vigor
1 Foundation Breaker
3 Leyline of the Void
1 Mystical Dispute
2 Subtlety
"
https://www.mtgtop8.com/event?e=39391&d=493357&f=MO,"4 Amulet of Vigor
4 Arboreal Grazer
1 Azusa, Lost but Seeking
1 Boros Garrison
2 Boseiju, Who Endures
2 Castle Garenbrig
3 Cavern of Souls
1 Cultivator Colossus
4 Dryad of the Ilysian Grove
1 Expedition Map
4 Forest
2 Gruul Turf
4 Primeval Titan
1 Radiant Fountain
3 Sakura-Tribe Elder
1 Scapeshift
3 Selesnya Sanctuary
4 Simic Growth Chamber
1 Slayers' Stronghold
4 Summoner's Pact
1 Sunhome, Fortress of the Legion
2 Tolaria West
4 Urza's Saga
2 Valakut, the Molten Pinnacle
1 Vesuva
Sideboard
1 Boseiju, Who Endures
1 Bojuka Bog
1 Dismember
2 Endurance
2 Engineered Explosives
2 Force of Vigor
4 Hydroid Krasis
1 Island
1 Relic of Progenitus
"
https://www.mtgtop8.com/event?e=39391&d=493355&f=MO,"1 Jace, the Mind Sculptor
1 Chalice of the Void
2 Memory Deluge
3 Shark Typhoon
3 Prismatic Ending
3 Supreme Verdict
3 Dress Down
3 Teferi, Time Raveler
4 Counterspell
4 Leyline Binding
4 Archmage's Charm
4 Solitude
1 Hall of Heliod's Generosity
1 Hall of Storm Giants
1 Plains
1 Raugrin Triome
1 Steam Vents
1 Zagoth Triome
2 Scalding Tarn
2 Polluted Delta
2 Mystic Gate
2 Hallowed Fountain
3 Misty Rainforest
4 Flooded Strand
4 Island
Sideboard
1 Stony Silence
2 Rest in Peace
1 Kaheera, the Orphanguard
3 Hallowed Moonlight
2 Flame Blitz
1 Emrakul, the Aeons Torn
2 Dovin's Veto
2 Blossoming Calm
1 Chalice of the Void
"
https://www.mtgtop8.com/event?e=39253&d=492380&f=MO,"1 Valki, God of Lies
3 Arboreal Grazer
4 Dryad of the Ilysian Grove
4 Omnath, Locus of Creation
1 Lightning Bolt
2 Prismatic Ending
4 Expressive Iteration
4 Wrenn and Six
3 Teferi, Time Raveler
1 Scapeshift
1 Supreme Verdict
4 Bring to Light
3 Leyline Binding
1 Boseiju, Who Endures
1 Breeding Pool
1 Flooded Strand
1 Forest
1 Island
1 Jetmir's Garden
2 Ketria Triome
4 Misty Rainforest
1 Otawara, Soaring City
1 Plains
2 Raugrin Triome
1 Sacred Foundry
1 Steam Vents
1 Stomping Ground
3 Valakut, the Molten Pinnacle
4 Windswept Heath
1 Ziatora's Proving Ground
Sideboard
2 Endurance
1 Fury
2 Chalice of the Void
2 Flusterstorm
2 Veil of Summer
1 Anger of the Gods
2 Mystical Dispute
1 Crumble to Dust
2 Force of Vigor
"
https://www.mtgtop8.com/event?e=39401&d=493426&f=MO,"1 Force of Negation
2 Blood Moon
3 Spell Pierce
3 Lightning Bolt
4 Consider
4 Mishra's Bauble
4 Expressive Iteration
4 Counterspell
4 Unholy Heat
2 Ledger Shredder
3 Murktide Regent
4 Dragon's Rage Channeler
4 Ragavan, Nimble Pilferer
1 Otawara, Soaring City
2 Scalding Tarn
2 Polluted Delta
2 Misty Rainforest
2 Flooded Strand
3 Steam Vents
3 Fiery Islet
3 Snow-Covered Island
Sideboard
1 Abrade
2 Fury
3 Mystical Dispute
2 Unlicensed Hearse
2 Flusterstorm
2 Engineered Explosives
1 Subtlety
2 Dress Down
"
https://www.mtgtop8.com/event?e=39401&d=493424&f=MO,"2 Inquisition of Kozilek
4 Karn, the Great Creator
1 Mystifying Maze
1 Polluted Delta
2 Defile
2 Castle Locthwain
3 Profane Tutor
4 Invoke Despair
4 Thoughtseize
2 Fatal Push
4 Expedition Map
1 Blast Zone
1 Verdant Catacombs
8 Swamp
1 Damnation
1 Liliana of the Veil
2 Field of Ruin
4 Urborg, Tomb of Yawgmoth
1 Tourach, Dread Cantor
2 Bloodchief's Thirst
1 Takenuma, Abandoned Mire
2 Relic of Progenitus
3 March of Wretched Sorrow
4 Cabal Coffers
Sideboard
1 Engineered Explosives
1 Ensnaring Bridge
1 Pithing Needle
1 Bolas's Citadel
3 Dauthi Voidwalker
1 Wurmcoil Engine
1 Walking Ballista
1 Tormod's Crypt
1 Oblivion Stone
1 Grafdigger's Cage
1 Sundering Titan
1 Detection Tower
1 Liquimetal Coating
"
https://www.mtgtop8.com/event?e=39401&d=493430&f=MO,"2 Subtlety
3 Cavern of Souls
1 Minamo, School at Water's Edge
4 Dismember
4 Master of the Pearl Trident
4 Merfolk Trickster
4 Lord of Atlantis
2 Otawara, Soaring City
8 Island
4 Silvergill Adept
2 Waterlogged Grove
4 Aether Vial
2 Cursecatcher
4 Svyelun of Sea and Sky
4 Mutavault
4 Tide Shaper
4 Vodalian Hexcatcher
Sideboard
2 Grafdigger's Cage
3 Chalice of the Void
4 Force of Negation
2 Subtlety
2 Spreading Seas
2 Harbinger of the Tides
"
https://www.mtgtop8.com/event?e=39401&d=493425&f=MO,"2 Spell Pierce
3 Inkmoth Nexus
3 Seachrome Coast
1 Silent Clearing
1 Gingerbrute
4 Colossus Hammer
3 Springleaf Drum
1 Steelshaper's Gift
3 Plains
2 Giver of Runes
1 Windswept Heath
1 Kaldra Compleat
2 Blacksmith's Skill
1 Flooded Strand
4 Urza's Saga
2 Arid Mesa
4 Stoneforge Mystic
4 Sigarda's Aid
4 Ornithopter
1 Nettlecyst
4 Puresteel Paladin
2 Hallowed Fountain
1 Shadowspear
4 Esper Sentinel
2 Marsh Flats
Sideboard
1 Spell Pierce
1 Blacksmith's Skill
1 Pithing Needle
2 Mana Leak
2 March of Otherworldly Light
3 Sanctifier en-Vec
1 Relic of Progenitus
2 Drannith Magistrate
1 Path to Exile
1 Lavinia, Azorius Renegade
"
https://www.mtgtop8.com/event?e=39401&d=493429&f=MO,"2 Polluted Delta
2 Murktide Regent
3 Island
4 Dragon's Rage Channeler
3 Steam Vents
4 Mishra's Bauble
3 Lightning Bolt
4 Ragavan, Nimble Pilferer
1 Brazen Borrower
2 Archmage's Charm
4 Expressive Iteration
4 Consider
4 Unholy Heat
2 Spell Pierce
2 Misty Rainforest
4 Counterspell
1 Otawara, Soaring City
3 Ledger Shredder
4 Spirebluff Canal
1 Fiery Islet
1 Scalding Tarn
2 Flooded Strand
Sideboard
2 Subtlety
2 Flusterstorm
2 Blood Moon
2 Engineered Explosives
2 Dress Down
2 Mystical Dispute
1 Abrade
2 Unlicensed Hearse
"
https://www.mtgtop8.com/event?e=39401&d=493427&f=MO,"2 Blacksmith's Skill
1 Kaldra Compleat
3 Inkmoth Nexus
10 Plains
4 Stoneforge Mystic
4 Ornithopter
4 Esper Sentinel
3 Giver of Runes
2 Springleaf Drum
4 Urza's Saga
1 Steelshaper's Gift
4 Horizon Canopy
4 Colossus Hammer
1 Shadowspear
1 Eiganjo, Seat of the Empire
1 Paradise Mantle
4 Sigarda's Aid
1 Sword of Fire and Ice
1 Nettlecyst
4 Puresteel Paladin
1 Gingerbrute
Sideboard
1 Relic of Progenitus
3 Drannith Magistrate
1 Pithing Needle
2 Path to Exile
1 Blacksmith's Skill
3 Sanctifier en-Vec
2 March of Otherworldly Light
2 Hallowed Moonlight
"
https://www.mtgtop8.com/event?e=39401&d=493428&f=MO,"2 Spell Pierce
2 Blood Moon
3 Lightning Bolt
4 Unholy Heat
4 Counterspell
4 Mishra's Bauble
4 Expressive Iteration
4 Consider
1 Brazen Borrower
2 Ledger Shredder
3 Murktide Regent
4 Ragavan, Nimble Pilferer
4 Dragon's Rage Channeler
1 Otawara, Soaring City
1 Misty Rainforest
1 Fiery Islet
2 Scalding Tarn
2 Polluted Delta
2 Flooded Strand
3 Snow-Covered Island
3 Steam Vents
4 Spirebluff Canal
Sideboard
2 Dress Down
1 Jace, the Mind Sculptor
2 Engineered Explosives
1 Subtlety
2 Fury
1 Tormod's Crypt
2 Flusterstorm
1 Invasive Surgery
1 Unlicensed Hearse
2 Mystical Dispute
"
https://www.mtgtop8.com/event?e=39465&d=493897&f=MO,"3 Springleaf Drum
1 Nettlecyst
4 Colossus Hammer
2 Marsh Flats
1 Silent Clearing
4 Esper Sentinel
4 Stoneforge Mystic
1 Flooded Strand
3 Seachrome Coast
3 Inkmoth Nexus
4 Urza's Saga
1 Windswept Heath
1 Gingerbrute
4 Sigarda's Aid
2 Blacksmith's Skill
2 Hallowed Fountain
2 Spell Pierce
4 Ornithopter
2 Giver of Runes
1 Steelshaper's Gift
1 Shadowspear
3 Plains
4 Puresteel Paladin
1 Kaldra Compleat
2 Arid Mesa
Sideboard
1 Blacksmith's Skill
1 Spell Pierce
1 Path to Exile
2 March of Otherworldly Light
3 Sanctifier en-Vec
2 Mana Leak
1 Lavinia, Azorius Renegade
1 Pithing Needle
1 Relic of Progenitus
2 Drannith Magistrate
"
https://www.mtgtop8.com/event?e=39465&d=493896&f=MO,"1 Endurance
2 Nurturing Peatland
4 Strangleroot Geist
4 Verdant Catacombs
2 Blooming Marsh
4 Yawgmoth, Thran Physician
1 Swamp
4 Birds of Paradise
1 Dryad Arbor
1 Urborg, Tomb of Yawgmoth
2 Forest
2 Twilight Mire
4 Wall of Roots
2 Boseiju, Who Endures
1 Geralf's Messenger
1 Hapatra, Vizier of Poisons
2 Overgrown Tomb
2 Misty Rainforest
3 Eldritch Evolution
4 Chord of Calling
1 Blood Artist
4 Grist, the Hunger Tide
4 Young Wolf
4 Ignoble Hierarch
Sideboard
1 Magus of the Moon
2 Unlicensed Hearse
1 Endurance
2 Necromentia
1 Sheoldred, the Apocalypse
1 Outland Liberator
2 Veil of Summer
1 Thoughtseize
2 Force of Vigor
2 Chalice of the Void
"
https://www.mtgtop8.com/event?e=39465&d=493894&f=MO,"2 Boseiju, Who Endures
1 Reason / Believe
4 Primeval Titan
1 Khalni Garden
1 Bojuka Bog
1 Boros Garrison
4 Forest
1 Azusa, Lost but Seeking
4 Gruul Turf
4 Dryad of the Ilysian Grove
4 Summoner's Pact
3 Courser of Kruphix
4 Urza's Saga
4 Simic Growth Chamber
1 Vesuva
4 Amulet of Vigor
1 Sunhome, Fortress of the Legion
4 Arboreal Grazer
2 Valakut, the Molten Pinnacle
1 Expedition Map
1 Slayers' Stronghold
1 Oracle of Mul Daya
2 Tolaria West
1 Cultivator Colossus
4 Cavern of Souls
Sideboard
3 Tireless Tracker
2 Orvar, the All-Form
2 Endurance
1 Nullhide Ferox
2 Force of Vigor
1 Boseiju, Who Endures
2 Engineered Explosives
1 Dismember
1 Elder Gargaroth
"
https://www.mtgtop8.com/event?e=39465&d=493895&f=MO,"4 Fable of the Mirror-Breaker
3 Fire / Ice
1 Ketria Triome
4 Wrenn and Six
2 Steam Vents
1 Ziatora's Proving Ground
4 Lightning Bolt
4 Spell Pierce
3 Scalding Tarn
3 Bloodstained Mire
4 Archon of Cruelty
1 Stomping Ground
1 Sacred Foundry
4 Indomitable Creativity
3 Arid Mesa
4 Dwarven Mine
3 Prismari Command
1 Persist
1 Raugrin Triome
2 Wooded Foothills
1 Transmogrify
4 Leyline Binding
1 Mountain
1 Blood Crypt
Sideboard
2 Boseiju, Who Endures
1 Emrakul, the Aeons Torn
2 Flusterstorm
4 Veil of Summer
2 Turn the Earth
2 Hallowed Moonlight
2 Nature's Claim
"
https://www.mtgtop8.com/event?e=39239&d=492303&f=MO,"2 Phantasmal Image
3 Svyelun of Sea and Sky
4 Vodalian Hexcatcher
4 Harbinger of the Tides
4 Master of the Pearl Trident
4 Silvergill Adept
4 Tide Shaper
4 Merfolk Trickster
4 Lord of Atlantis
4 Aether Vial
4 Force of Negation
1 Fiery Islet
2 Otawara, Soaring City
4 Mutavault
4 Cavern of Souls
8 Island
Sideboard
2 Spreading Seas
2 Grafdigger's Cage
2 Dismember
2 Ratchet Bomb
3 Chalice of the Void
4 Subtlety
"
https://www.mtgtop8.com/event?e=39239&d=492301&f=MO,"4 Shardless Agent
4 Solitude
4 Scion of Draco
4 Fire / Ice
4 Force of Negation
4 Violent Outburst
4 Crashing Footfalls
2 Ardent Plea
4 Leyline Binding
3 Teferi, Time Raveler
1 Hallowed Fountain
1 Indatha Triome
1 Plains
1 Temple Garden
1 Sacred Foundry
1 Forest
1 Xander's Lounge
1 Breeding Pool
1 Steam Vents
1 Island
2 Windswept Heath
3 Arid Mesa
4 Flooded Strand
4 Misty Rainforest
Sideboard
1 Unmoored Ego
3 Brazen Borrower
3 Mystical Dispute
4 Leyline of the Void
4 Force of Vigor
"
