Deck link,Deck list
https://www.mtgtop8.com/event?e=39418&d=493544&f=PAU,"1 Navigator's Compass
2 Kuldotha Rebirth
2 Makeshift Munitions
2 Foundry Helix
2 Relic of Progenitus
4 Experimental Synthesizer
4 Galvanic Blast
4 Lightning Bolt
4 Ichor Wellspring
4 Seeker of the Way
4 Kor Skyfisher
4 Thraben Inspector
4 Glint Hawk
1 Lorehold Campus
1 Kabira Crossroads
2 Wind-Scarred Crag
2 Boros Garrison
2 Snow-Covered Plains
3 Ancient Den
3 Great Furnace
3 Snow-Covered Island
4 Rustvale Bridge
Sideboard
3 Dust to Dust
2 Celestial Flare
2 Light of Hope
2 Electrickery
4 Red Elemental Blast
1 Gorilla Shaman
1 Navigator's Compass
"
https://www.mtgtop8.com/event?e=39418&d=493538&f=PAU,"4 Cleansing Wildfire
2 Ardent Elementalist
3 Boarding Party
4 Llanowar Visionary
3 Thorn of the Black Rose
4 Vampire Sovereign
1 Debt to the Kami
3 Galvanic Blast
3 Lightning Bolt
2 Pulse of Murasa
1 Reaping the Graves
1 Terminate
3 Chainer's Edict
2 Faithless Looting
2 Geomancer's Gambit
2 Bojuka Bog
3 Darkmoss Bridge
4 Drossforge Bridge
2 Forest
5 Mountain
4 Slagwoods Bridge
2 Swamp
Sideboard
4 Ancient Grudge
3 Duress
2 Fiery Cannonade
2 Nihil Spellbomb
1 Relic of Progenitus
3 Weather the Storm
"
https://www.mtgtop8.com/event?e=39418&d=493539&f=PAU,"1 Suffocating Fumes
1 Agony Warp
2 Deep Analysis
2 Cast Down
2 Unexpected Fangs
3 Snuff Out
3 Spell Pierce
4 Mental Note
4 Thought Scour
4 Counterspell
4 Consider
4 Brainstorm
4 Tolarian Terror
4 Gurmag Angler
4 Ice Tunnel
4 Contaminated Aquifer
10 Island
Sideboard
1 Dispel
1 Reaping the Graves
2 Nausea
2 Nihil Spellbomb
2 Hydroblast
3 Chainer's Edict
2 Blue Elemental Blast
2 Unexpected Fangs
"
https://www.mtgtop8.com/event?e=39418&d=493543&f=PAU,"18 Swamp
4 Defile
4 Cast Down
4 Chainer's Edict
2 Snuff Out
4 Sign in Blood
4 Seekers' Squire
4 Cuombajj Witches
4 Chittering Rats
1 Crypt Rats
3 Thorn of the Black Rose
1 Vampire Sovereign
3 Gray Merchant of Asphodel
2 Witch's Cottage
2 Bojuka Bog
Sideboard
4 Cram Session
3 Nihil Spellbomb
2 Duress
3 Divest
1 Suffocating Fumes
1 Arms of Hadar
1 Pestilence
"
https://www.mtgtop8.com/event?e=39418&d=493542&f=PAU,"13 Mountain
4 Great Furnace
4 Lightning Bolt
4 Chain Lightning
4 Experimental Synthesizer
4 Kuldotha Rebirth
4 Monastery Swiftspear
4 Galvanic Blast
4 Reckless Impulse
4 Chromatic Star
4 Voldaren Epicure
2 Lava Dart
2 Fireblast
2 Lava Spike
1 Goblin Bushwhacker
Sideboard
2 End the Festivities
1 Krark-Clan Shaman
2 Mine Collapse
3 Red Elemental Blast
3 Smash to Smithereens
2 Relic of Progenitus
1 Gorilla Shaman
1 Flaring Pain
"
https://www.mtgtop8.com/event?e=39418&d=493537&f=PAU,"3 Great Furnace
4 Vault of Whispers
4 Mountain
1 Swamp
4 Drossforge Bridge
3 Rakdos Carnarium
4 Lightning Bolt
4 Fiery Temper
4 Alms of the Vein
4 Voldaren Epicure
4 Kitchen Imp
4 Galvanic Blast
4 Vampire's Kiss
1 Fodder Tosser
1 Bump in the Night
4 Lava Spike
4 Faithless Looting
2 Deadly Dispute
1 Gurmag Angler
Sideboard
3 Molten Rain
2 Smash to Smithereens
3 Diabolic Edict
2 Pyroblast
1 Red Elemental Blast
1 Electrickery
2 Nihil Spellbomb
1 Swirling Sandstorm
"
https://www.mtgtop8.com/event?e=39418&d=493541&f=PAU,"1 Lose Focus
1 Fire / Ice
1 The Modern Age
1 Dispel
1 Force Spike
1 Spell Pierce
2 Mental Note
2 Deep Analysis
3 Counterspell
4 Brainstorm
4 Thought Scour
4 Skred
4 Lightning Bolt
3 Nimble Mongoose
4 Delver of Secrets
4 Tolarian Terror
2 Terramorphic Expanse
2 Snow-Covered Mountain
3 Ash Barrens
3 Snow-Covered Forest
4 Volatile Fjord
6 Snow-Covered Island
Sideboard
1 Smash to Dust
3 Red Elemental Blast
1 Hydroblast
2 Blue Elemental Blast
2 Weather the Storm
2 Relic of Progenitus
1 Gorilla Shaman
2 Fiery Cannonade
1 Dispel
"
https://www.mtgtop8.com/event?e=39418&d=493540&f=PAU,"1 Krark-Clan Shaman
1 Myr Retriever
1 Gurmag Angler
1 Kenku Artificer
4 Frogmite
4 Myr Enforcer
2 Thoughtcast
3 Metallic Rebuke
4 Galvanic Blast
4 Deadly Dispute
3 Reckoner's Bargain
2 Makeshift Munitions
3 Blood Fountain
4 Ichor Wellspring
4 Chromatic Star
1 Island
1 Swamp
2 Seat of the Synod
3 Great Furnace
3 Vault of Whispers
2 Silverbluff Bridge
3 Mistvault Bridge
4 Drossforge Bridge
Sideboard
3 Red Elemental Blast
2 Blue Elemental Blast
2 Spell Pierce
1 Turn Aside
2 Breath Weapon
2 Nihil Spellbomb
1 Chainer's Edict
2 Diabolic Edict
"
https://www.mtgtop8.com/event?e=39303&d=492643&f=PAU,"1 Nihil Spellbomb
1 Chainer's Edict
2 Makeshift Munitions
2 Thoughtcast
2 Metallic Rebuke
3 Blood Fountain
4 Deadly Dispute
4 Reckoner's Bargain
4 Chromatic Star
4 Ichor Wellspring
4 Galvanic Blast
1 Krark-Clan Shaman
1 Gurmag Angler
2 Frogmite
2 Kenku Artificer
4 Myr Enforcer
2 Great Furnace
3 Silverbluff Bridge
3 Vault of Whispers
3 Seat of the Synod
4 Mistvault Bridge
4 Drossforge Bridge
Sideboard
3 Blue Elemental Blast
3 Turn Aside
2 Red Elemental Blast
2 Suffocating Fumes
2 Nihil Spellbomb
2 Chainer's Edict
1 Kenku Artificer
"
https://www.mtgtop8.com/event?e=39303&d=492646&f=PAU,"3 Brinebarrow Intruder
4 Ninja of the Deep Hours
4 Spellstutter Sprite
4 Moon-Circuit Hacker
4 Faerie Miscreant
4 Faerie Seer
1 Bonesplitter
1 Dispel
2 Spell Pierce
3 Mutagenic Growth
4 Counterspell
4 Snap
4 Of One Mind
18 Island
Sideboard
1 Bonesplitter
2 Dispel
2 Echoing Truth
3 Annul
3 Gut Shot
4 Blue Elemental Blast
"
https://www.mtgtop8.com/event?e=39303&d=492644&f=PAU,"1 Goblin Bushwhacker
3 Kessig Flamebreather
4 Monastery Swiftspear
4 Voldaren Epicure
4 Chromatic Star
4 Experimental Synthesizer
1 Fireblast
2 Lava Dart
4 Lightning Bolt
4 Galvanic Blast
4 Reckless Impulse
4 Kuldotha Rebirth
4 Chain Lightning
4 Great Furnace
13 Mountain
Sideboard
2 Smash to Smithereens
2 Relic of Progenitus
2 Gorilla Shaman
3 Molten Rain
3 End the Festivities
3 Curse of the Pierced Heart
"
https://www.mtgtop8.com/event?e=39303&d=492649&f=PAU,"1 Heart Sliver
3 Sentinel Sliver
4 Gemhide Sliver
4 Predatory Sliver
4 Sinew Sliver
4 Hunter Sliver
4 Muscle Sliver
4 Plated Sliver
4 Sidewinder Sliver
4 Winding Way
4 Lead the Stampede
1 Survivors' Encampment
2 Citadel Gate
2 Manor Gate
7 Plains
8 Forest
Sideboard
1 Flaring Pain
1 Standard Bearer
3 Prismatic Strands
3 Masked Vandal
3 Obsidian Acolyte
4 Arashin Cleric
"
