Deck link,Deck list
https://www.mtgtop8.com/event?e=38884&d=490119&f=PI,"1 Nissa, Vital Force
2 In Search of Greatness
4 Kiora, Behemoth Beckoner
4 Karn, the Great Creator
4 Oath of Nissa
4 Wolfwillow Haven
4 Storm the Festival
4 Elvish Mystic
4 Cavalier of Thorns
4 Old-Growth Troll
4 Llanowar Elves
2 Lair of the Hydra
2 Boseiju, Who Endures
4 Nykthos, Shrine to Nyx
13 Forest
Sideboard
1 Pithing Needle
1 Darksteel Citadel
1 Ratchet Bomb
1 Reckoner Bankbuster
1 Damping Sphere
1 Transmogrifying Wand
1 Esika's Chariot
1 Tormod's Crypt
1 The Chain Veil
1 Skysovereign, Consul Flagship
1 Pestilent Cauldron
1 Meteor Golem
1 Heart of Kiran
1 God-Pharaoh's Statue
1 Unlicensed Hearse
"
https://www.mtgtop8.com/event?e=38884&d=490121&f=PI,"1 Topiary Stomper
4 Llanowar Elves
4 Cavalier of Thorns
4 Old-Growth Troll
4 Elvish Mystic
1 Skysovereign, Consul Flagship
4 Storm the Festival
4 Wolfwillow Haven
4 Oath of Nissa
1 Teferi, Who Slows the Sunset
4 Karn, the Great Creator
4 Kiora, Behemoth Beckoner
2 Lair of the Hydra
2 Boseiju, Who Endures
4 Nykthos, Shrine to Nyx
13 Forest
Sideboard
1 Skysovereign, Consul Flagship
1 Reckoner Bankbuster
1 Damping Sphere
1 Pithing Needle
1 Tormod's Crypt
1 Treasure Vault
1 Heart of Kiran
1 Unlicensed Hearse
1 Karn's Sylex
1 Pestilent Cauldron
1 The Chain Veil
1 Esika's Chariot
1 God-Pharaoh's Gift
1 Meteor Golem
1 Voracious Hydra
"
https://www.mtgtop8.com/event?e=38884&d=490118&f=PI,"1 Kalitas, Traitor of Ghet
1 Tenacious Underdog
2 Sheoldred, the Apocalypse
2 Kroxa, Titan of Death's Hunger
4 Graveyard Trespasser
4 Bonecrusher Giant
4 Fable of the Mirror-Breaker
4 Bloodtithe Harvester
1 Abrade
4 Fatal Push
3 Dreadbore
4 Thoughtseize
1 Liliana of the Veil
1 Castle Locthwain
1 Takenuma, Abandoned Mire
1 Mountain
1 Sokenzan, Crucible of Defiance
1 Urborg, Tomb of Yawgmoth
2 Den of the Bugbear
2 Hive of the Eye Tyrant
2 Sulfurous Springs
2 Swamp
4 Haunted Ridge
4 Blood Crypt
4 Blightstep Pathway
Sideboard
1 Kalitas, Traitor of Ghet
1 Abrade
1 Liliana of the Veil
1 Hidetsugu Consumes All
1 Invoke Despair
1 Kolaghan's Command
1 Rending Volley
1 Noxious Grasp
1 Eliminate
2 Duress
2 Unlicensed Hearse
2 Reckoner Bankbuster
"
https://www.mtgtop8.com/event?e=38884&d=490120&f=PI,"1 Lightning Axe
1 Abrade
1 Shore Up
1 Spell Pierce
1 Lava Coil
2 Chart a Course
2 Fires of Victory
3 Fable of the Mirror-Breaker
4 Opt
4 Consider
4 Fiery Impulse
4 Treasure Cruise
2 Young Pyromancer
2 Brazen Borrower
4 Ledger Shredder
4 Crackling Drake
1 Mountain
1 Den of the Bugbear
1 Hall of Storm Giants
1 Sokenzan, Crucible of Defiance
1 Island
1 Otawara, Soaring City
2 Stormcarved Coast
4 Riverglide Pathway
4 Spirebluff Canal
4 Steam Vents
Sideboard
1 Rending Volley
1 Negate
1 Mystical Dispute
1 Chandra, Torch of Defiance
1 Chandra, Awakened Inferno
1 Niv-Mizzet, Parun
2 Unlicensed Hearse
2 Anger of the Gods
2 Disdainful Stroke
2 Aether Gust
1 Abrade
"
https://www.mtgtop8.com/event?e=38884&d=490114&f=PI,"1 Sylvan Caryatid
4 Cavalier of Thorns
4 Old-Growth Troll
4 Elvish Mystic
4 Llanowar Elves
1 Skysovereign, Consul Flagship
4 Storm the Festival
4 Oath of Nissa
4 Wolfwillow Haven
1 Teferi, Who Slows the Sunset
4 Karn, the Great Creator
4 Kiora, Behemoth Beckoner
2 Lair of the Hydra
2 Boseiju, Who Endures
4 Nykthos, Shrine to Nyx
13 Forest
Sideboard
2 Skysovereign, Consul Flagship
1 God-Pharaoh's Statue
1 Tormod's Crypt
1 Darksteel Citadel
1 Pithing Needle
1 Reckoner Bankbuster
1 Transmogrifying Wand
1 Esika's Chariot
1 Meteor Golem
1 Pestilent Cauldron
1 Heart of Kiran
1 Ratchet Bomb
1 The Chain Veil
1 Damping Sphere
"
https://www.mtgtop8.com/event?e=38884&d=490117&f=PI,"1 Kroxa, Titan of Death's Hunger
2 Fable of the Mirror-Breaker
3 Unlucky Witness
4 Cauldron Familiar
4 Bloodtithe Harvester
4 Mayhem Devil
4 Witch's Oven
2 Village Rites
3 Fatal Push
4 Deadly Dispute
1 Dreadbore
4 Claim the Firstborn
3 Ob Nixilis, the Adversary
1 Urborg, Tomb of Yawgmoth
1 Takenuma, Abandoned Mire
1 Sokenzan, Crucible of Defiance
2 Hive of the Eye Tyrant
2 Haunted Ridge
2 Den of the Bugbear
2 Mountain
2 Swamp
4 Blood Crypt
4 Blightstep Pathway
Sideboard
1 Jegantha, the Wellspring
2 Kolaghan's Command
2 Bloody Betrayal
2 Go Blank
2 Unlicensed Hearse
2 Damping Sphere
4 Thoughtseize
"
https://www.mtgtop8.com/event?e=38884&d=490115&f=PI,"1 Archon of Emeria
1 Renegade Rallier
1 Deputy of Detention
1 Knight of Autumn
1 Skyclave Apparition
1 Archon of Sun's Grace
1 The Scarab God
1 Yarok, the Desecrated
1 Tolsimir, Friend to Wolves
1 Titan of Industry
1 Agent of Treachery
1 Callous Bloodmage
1 Reidane, God of the Worthy
1 Gloomshrieker
4 Fable of the Mirror-Breaker
4 Portable Hole
4 Enigmatic Incarnation
4 Fires of Invention
4 Leyline Binding
4 Nylea's Presence
4 Trial of Ambition
4 Omen of the Sea
1 Breeding Pool
1 Zagoth Triome
1 Ketria Triome
1 Savai Triome
1 Indatha Triome
1 Raffine's Tower
1 Watery Grave
1 Jetmir's Garden
1 Hengegate Pathway
1 Island
1 Darkbore Pathway
1 Woodland Cemetery
1 Raugrin Triome
1 Hallowed Fountain
1 Glacial Fortress
1 Forest
1 Overgrown Tomb
1 Drowned Catacomb
1 Xander's Lounge
1 Swamp
1 Hinterland Harbor
1 Ziatora's Proving Ground
1 Isolated Chapel
1 Glasspool Mimic
2 Sunpetal Grove
2 Spara's Headquarters
2 Stomping Ground
2 Sacred Foundry
2 Temple Garden
Sideboard
1 Skyclave Apparition
1 Reidane, God of the Worthy
1 Yorion, Sky Nomad
2 Fatal Push
2 Fry
2 Rending Volley
2 Kambal, Consul of Allocation
4 Destiny Spinner
"
https://www.mtgtop8.com/event?e=38884&d=490116&f=PI,"1 Liliana, Heretical Healer
2 Elvish Mystic
3 Llanowar Elves
4 Prosperous Innkeeper
4 Woe Strider
4 Catacomb Sifter
4 Mayhem Devil
4 Priest of Forgotten Gods
4 Gilded Goose
4 Bolas's Citadel
4 Collected Company
1 Swamp
1 Blood Crypt
1 Stomping Ground
3 Overgrown Tomb
4 Blooming Marsh
4 Cragcrown Pathway
4 Blightstep Pathway
4 Darkbore Pathway
Sideboard
1 Unlicensed Hearse
1 Klothys, God of Destiny
1 Abrupt Decay
1 Binding the Old Gods
2 Go Blank
2 Outland Liberator
3 Thoughtseize
4 Fatal Push
"
https://www.mtgtop8.com/event?e=39393&d=493372&f=PI,"2 Tenacious Underdog
2 Sheoldred, the Apocalypse
2 Kalitas, Traitor of Ghet
3 Murderous Rider
4 Shambling Ghast
4 Graveyard Trespasser
4 Gifted Aetherborn
4 Deadly Dispute
4 Fatal Push
3 Invoke Despair
4 Thoughtseize
3 Liliana of the Veil
1 Takenuma, Abandoned Mire
1 Hive of the Eye Tyrant
1 Urborg, Tomb of Yawgmoth
2 Field of Ruin
4 Castle Locthwain
12 Swamp
Sideboard
1 Cling to Dust
2 Duress
2 Leyline of the Void
2 Grafdigger's Cage
2 Pithing Needle
2 Infernal Grasp
2 Hero's Downfall
2 Necromentia
"
https://www.mtgtop8.com/event?e=39393&d=493374&f=PI,"3 Lovestruck Beast
4 Elvish Mystic
4 Cavalier of Thorns
4 Old-Growth Troll
4 Llanowar Elves
4 Storm the Festival
4 Wolfwillow Haven
4 Oath of Nissa
4 Karn, the Great Creator
4 Kiora, Behemoth Beckoner
2 Lair of the Hydra
2 Boseiju, Who Endures
4 Nykthos, Shrine to Nyx
13 Forest
Sideboard
1 Darksteel Citadel
1 Meteor Golem
1 God-Pharaoh's Statue
1 Esika's Chariot
1 The Chain Veil
1 Pestilent Cauldron
1 Transmogrifying Wand
1 Reckoner Bankbuster
1 Ratchet Bomb
1 Heart of Kiran
1 Damping Sphere
1 Pithing Needle
1 Tormod's Crypt
2 Skysovereign, Consul Flagship
"
