,types
0,['Creature']
1,['Creature']
2,['Sorcery']
3,['Creature']
4,['Enchantment']
5,['Creature']
6,['Enchantment']
7,['Creature']
8,['Instant']
9,['Creature']
10,['Creature']
11,['Sorcery']
12,['Creature']
13,['Creature']
14,['Instant']
15,['Creature']
16,['Creature']
17,['Creature']
18,['Card']
19,['Creature']
20,['Creature']
21,['Enchantment']
22,['Creature']
23,['Creature']
24,['Enchantment']
25,['Enchantment']
26,['Land']
27,['Sorcery']
28,['Creature']
29,['Creature']
30,['Creature']
31,['Land']
32,['Sorcery']
33,['Land']
34,['Token' 'Creature']
35,['Enchantment']
36,['Emblem']
37,['Creature']
38,['Enchantment']
39,['Creature']
40,['Creature']
41,['Sorcery']
42,['Planeswalker']
43,['Land']
44,['Creature']
45,['Creature']
46,['Creature']
47,['Instant']
48,['Artifact']
49,['Enchantment']
50,['Land']
51,['Instant']
52,['Sorcery']
53,['Instant']
54,['Sorcery']
55,['Artifact']
56,['Enchantment']
57,['Enchantment']
58,['Creature']
59,['Artifact']
60,['Creature']
61,['Creature']
62,['Land']
63,['Creature']
64,['Card']
65,['Creature']
66,['Land']
67,['Card']
68,['Artifact' 'Creature']
69,['Artifact' 'Creature']
70,['Sorcery']
71,['Instant']
72,['Sorcery']
73,['Creature']
74,['Planeswalker']
75,['Creature']
76,['Artifact']
77,['Instant']
78,['Planeswalker']
79,['Instant']
80,['Creature']
81,['Artifact' 'Creature']
82,['Creature']
83,['Creature']
84,['Artifact']
85,['Instant']
86,['Land']
87,['Sorcery']
88,['Card']
89,['Creature']
90,['Tribal' 'Instant']
91,['Enchantment']
92,['Sorcery']
93,['Creature']
94,['Creature']
95,['Enchantment']
96,['Enchantment']
97,['Land']
98,['Creature']
99,['Land']
100,['Sorcery']
101,['Artifact']
102,['Land']
103,['Artifact']
104,['Creature']
105,['Creature']
106,['Token' 'Creature']
107,['Creature']
108,['Sorcery']
109,['Enchantment']
110,['Creature']
111,['Creature']
112,['Artifact' 'Creature']
113,['Sorcery']
114,['Artifact']
115,['Creature']
116,['Enchantment']
117,['Artifact']
118,['Token' 'Artifact']
119,['Enchantment']
120,['Creature']
122,['Sorcery']
123,['Land']
124,['Creature']
125,['Artifact' 'Creature']
126,['Creature']
127,['Creature']
128,['Artifact']
129,['Creature']
130,['Creature']
131,['Instant']
132,['Artifact' 'Creature']
133,['Card']
134,['Enchantment']
135,['Creature']
136,['Enchantment']
137,['Artifact']
138,['Creature']
139,['Creature']
140,['Creature']
141,['Creature']
143,['Creature']
144,['Creature']
145,['Land']
146,['Creature']
147,['Land']
148,['Creature']
149,['Creature']
150,['Token' 'Creature']
151,['Creature']
152,['Instant']
153,['Land']
154,['Sorcery']
155,['Creature']
156,['Creature']
157,['Sorcery']
158,['Creature']
159,['Land']
160,['Artifact' 'Creature']
161,['Creature']
162,['Card']
163,['Instant']
164,['Creature']
165,['Token' 'Artifact' 'Creature']
166,['Enchantment']
167,['Creature']
168,['Card']
169,['Instant']
170,['Planeswalker']
171,['Creature']
172,['Creature']
173,['Artifact' 'Creature']
174,['Creature']
175,['Creature']
176,['Card']
177,['Sorcery']
178,['Sorcery']
179,['Creature']
180,['Creature']
181,['Artifact']
182,['Artifact']
183,['Enchantment']
184,['Sorcery']
185,['Creature']
186,['Creature']
187,['Artifact']
188,['Enchantment']
189,['Creature']
190,['Creature']
191,['Sorcery']
192,['Planeswalker']
193,['Creature']
194,['Creature']
196,['Creature']
197,['Creature']
198,['Artifact']
199,['Enchantment']
200,['Creature']
201,['Land']
202,['Instant']
203,['Token' 'Creature']
204,['Artifact']
205,['Instant']
206,['Enchantment']
207,['Creature']
208,['Enchantment']
209,['Creature']
210,['Artifact']
211,['Instant']
212,['Creature']
213,['Creature']
214,['Creature']
215,['Enchantment']
216,['Creature']
217,['Instant']
218,['Creature']
219,['Creature']
220,['Artifact' 'Creature']
222,['Creature']
223,['Creature']
224,['Card']
225,['Creature']
226,['Land']
227,['Enchantment']
228,['Enchantment']
229,['Creature']
230,['Creature']
231,['Creature']
232,['Land']
233,['Creature']
234,['Land']
235,['Sorcery']
236,['Token' 'Creature']
237,['Artifact']
238,['Instant']
239,['Sorcery']
240,['Artifact']
241,['Creature']
242,['Creature']
243,['Creature']
244,['Planeswalker']
245,['Artifact']
246,['Creature']
247,['Creature']
248,['Creature']
249,['Land']
251,['Planeswalker']
252,['Enchantment']
253,['Creature']
254,['Creature']
255,['Instant']
256,['Instant']
257,['Creature']
258,['Creature']
259,['Card']
260,['Sorcery']
261,['Creature']
262,['Sorcery']
263,['Creature']
265,['Enchantment']
266,['Enchantment']
267,['Creature']
268,['Sorcery']
269,['Instant']
270,['Creature']
271,['Planeswalker']
272,['Creature']
273,['Land']
274,['Artifact']
275,['Creature']
276,['Creature']
277,['Creature']
278,['Planeswalker']
279,['Creature']
280,['Instant']
281,['Sorcery']
282,['Creature']
283,['Enchantment']
284,['Creature']
285,['Artifact']
286,['Creature']
287,['Instant']
288,['Creature']
289,['Creature']
290,['Card']
291,['Instant']
292,['Creature']
293,['Enchantment']
294,['Instant']
295,['Artifact' 'Creature']
296,['Card']
297,['Creature']
299,['Creature']
300,['Sorcery']
301,['Sorcery']
302,['Sorcery']
303,['Artifact' 'Creature']
305,['Creature']
306,['Artifact']
307,['Creature']
308,['Creature']
