Deck link,Deck list
https://www.mtgtop8.com/event?e=38941&d=490465&f=VI,"1 Tinker
1 Timetwister
1 Force of Negation
1 Demonic Tutor
1 Time Walk
1 Vampiric Tutor
1 Mystical Tutor
1 Mental Misstep
1 Gitaxian Probe
1 Brainstorm
1 Ancestral Recall
1 Narset, Parter of Veils
1 Yawgmoth's Will
1 Bolas's Citadel
1 Soul-Guide Lantern
1 Sensei's Divining Top
1 Time Vault
1 Sol Ring
1 Mox Ruby
1 Mox Pearl
1 Mox Jet
1 Mox Emerald
1 Manifold Key
1 Mana Crypt
1 Black Lotus
1 Lotus Petal
1 Day's Undoing
1 Mox Sapphire
4 Flusterstorm
4 Force of Will
2 Sheoldred, the Apocalypse
2 Opposition Agent
4 Hullbreacher
1 Polluted Delta
1 Flooded Strand
1 Misty Rainforest
1 Tolarian Academy
1 Island
3 Scalding Tarn
4 Urza's Saga
4 Underground Sea
Sideboard
1 Sphinx of the Steel Wind
2 Pithing Needle
4 Leyline of the Void
4 Hurkyl's Recall
2 Fatal Push
2 Dismember
"
https://www.mtgtop8.com/event?e=38941&d=490463&f=VI,"1 Manifold Key
1 Mox Jet
1 Mox Pearl
1 Mox Ruby
1 Mox Sapphire
1 Sensei's Divining Top
1 Sol Ring
1 Time Vault
1 Trinisphere
1 Moonsilver Key
1 Gerrard's Hourglass Pendant
1 Pithing Needle
1 Karn, the Great Creator
1 Demonic Tutor
1 Sea Gate Restoration
1 Time Walk
1 Tinker
1 Ancestral Recall
1 Black Lotus
1 Mana Crypt
1 Mox Emerald
1 Mana Vault
3 Mox Opal
3 Grim Monolith
4 Force of Will
4 Paradoxical Outcome
4 Coveted Jewel
1 Cyberdrive Awakener
2 Phyrexian Metamorph
2 Hullbreacher
2 Opposition Agent
1 Tolarian Academy
1 Otawara, Soaring City
4 Ancient Tomb
4 Mishra's Workshop
4 Urza's Saga
Sideboard
3 Leyline of the Void
1 Tormod's Crypt
1 Mycosynth Lattice
3 Hurkyl's Recall
2 Force of Negation
3 Dismember
1 Blightsteel Colossus
1 Fractured Sanity
"
https://www.mtgtop8.com/event?e=38941&d=490464&f=VI,"1 Yawgmoth's Will
1 Vampiric Tutor
4 Urza's Saga
2 Underground Sea
2 Tundra
1 Tolarian Academy
1 Tinker
1 Time Walk
1 Time Vault
1 Soul-Guide Lantern
1 Sol Ring
2 Snow-Covered Island
1 Snapcaster Mage
2 Sensei's Divining Top
1 Scalding Tarn
1 Repeal
1 Ponder
1 Polluted Delta
1 Pithing Needle
4 Paradoxical Outcome
1 Narset, Parter of Veils
1 Mystical Tutor
1 Mox Sapphire
1 Mox Ruby
1 Mox Pearl
2 Mox Opal
1 Mox Jet
1 Mox Emerald
1 Monastery Mentor
1 Misty Rainforest
1 Merchant Scroll
1 Mental Misstep
1 Manifold Key
1 Mana Vault
1 Mana Crypt
1 Hurkyl's Recall
1 Gitaxian Probe
4 Force of Will
2 Flusterstorm
1 Flooded Strand
1 Demonic Tutor
1 Brainstorm
1 Bolas's Citadel
1 Black Lotus
1 Ancestral Recall
Sideboard
3 Swords to Plowshares
1 Sphinx of the Steel Wind
1 Karn, the Great Creator
1 Balance
2 Soul-Guide Lantern
2 Pithing Needle
3 Hurkyl's Recall
2 Flusterstorm
"
https://www.mtgtop8.com/event?e=38941&d=490466&f=VI,"4 Ancient Tomb
1 Black Lotus
1 Chalice of the Void
4 Crucible of Worlds
4 Ghost Quarter
1 God-Pharaoh's Statue
4 Golos, Tireless Pilgrim
1 Inventors' Fair
1 Karakas
1 Karn, the Great Creator
1 Lodestone Golem
1 Mana Crypt
1 Mana Vault
4 Mishra's Workshop
1 Mox Emerald
1 Mox Jet
1 Mox Pearl
1 Mox Ruby
1 Mox Sapphire
1 Mystic Forge
1 Null Rod
3 Phyrexian Revoker
1 Pithing Needle
1 Relic of Progenitus
1 Sol Ring
4 Sphere of Resistance
1 Stonecoil Serpent
1 Strip Mine
1 The Tabernacle at Pendrell Vale
1 Thorn of Amethyst
1 Tolarian Academy
1 Trinisphere
4 Urza's Saga
4 Wasteland
Sideboard
2 Null Rod
1 Relic of Progenitus
1 The Tabernacle at Pendrell Vale
1 Ensnaring Bridge
1 Grafdigger's Cage
1 Island
1 Mental Misstep
3 Mindbreak Trap
1 Mycosynth Lattice
1 Soul-Guide Lantern
1 The Immortal Sun
1 Wurmcoil Engine
"
https://www.mtgtop8.com/event?e=38926&d=490384&f=VI,"1 Mental Misstep
1 Batterskull
1 Black Lotus
1 Kaldra Compleat
1 Mana Crypt
1 Mox Emerald
1 Mox Jet
1 Mox Pearl
1 Mox Sapphire
1 Mox Ruby
2 Force of Vigor
4 Once Upon a Time
1 Thalia, Heretic Cathar
1 Lion Sash
4 Thalia, Guardian of Thraben
4 Stoneforge Mystic
4 Outland Liberator
4 Noble Hierarch
4 Luminarch Aspirant
4 Archon of Emeria
1 Strip Mine
1 Plains
1 Karakas
3 Savannah
4 Horizon Canopy
4 Cavern of Souls
4 Wasteland
Sideboard
1 The Tabernacle at Pendrell Vale
2 Mirran Crusader
2 Mindbreak Trap
3 Containment Priest
4 Collector Ouphe
1 Boseiju, Who Endures
2 Force of Vigor
"
https://www.mtgtop8.com/event?e=38926&d=490388&f=VI,"1 Bolas's Citadel
1 Vampiric Tutor
1 Mystical Tutor
1 Mental Misstep
1 Force of Negation
1 Dig Through Time
1 Brainstorm
1 Ancestral Recall
1 Abrade
1 Treasure Cruise
1 Tinker
1 Time Walk
1 Ponder
1 Merchant Scroll
1 Gitaxian Probe
1 Demonic Tutor
1 Dack Fayden
1 Black Lotus
1 Time Vault
1 Sensei's Divining Top
1 Pithing Needle
1 Mox Sapphire
1 Mox Ruby
1 Mox Pearl
1 Mox Jet
1 Mox Emerald
1 Manifold Key
1 Narset, Parter of Veils
1 Mana Crypt
3 Flusterstorm
3 Pyroblast
4 Force of Will
4 Ragavan, Nimble Pilferer
1 Scalding Tarn
2 Flooded Strand
2 Misty Rainforest
2 Polluted Delta
2 Underground Sea
4 Urza's Saga
4 Volcanic Island
Sideboard
2 The Tabernacle at Pendrell Vale
1 Sphinx of the Steel Wind
1 Shattering Spree
1 Opposition Agent
2 Lightning Bolt
4 Leyline of the Void
1 Alpine Moon
1 Abrade
1 Pithing Needle
1 Pyroblast
"
https://www.mtgtop8.com/event?e=38926&d=490382&f=VI,"1 Bolas's Citadel
1 Vampiric Tutor
1 Mystical Tutor
1 Mental Misstep
1 Force of Negation
1 Brainstorm
1 Brain Freeze
1 Ancestral Recall
1 Abrade
1 Tinker
1 Time Walk
1 Ponder
1 Gitaxian Probe
1 Demonic Tutor
1 Dack Fayden
1 Black Lotus
1 Underworld Breach
1 Time Vault
1 Sol Ring
1 Sensei's Divining Top
1 Pithing Needle
1 Mox Sapphire
1 Mox Ruby
1 Mox Pearl
1 Mox Jet
1 Mox Emerald
1 Manifold Key
1 Narset, Parter of Veils
1 Mana Crypt
2 Pyroblast
3 Flusterstorm
4 Force of Will
1 Urza, Lord High Artificer
1 Sphinx of the Steel Wind
1 Opposition Agent
3 Hullbreacher
1 Tolarian Academy
1 Island
2 Scalding Tarn
2 Underground Sea
3 Misty Rainforest
3 Volcanic Island
4 Urza's Saga
Sideboard
1 The Tabernacle at Pendrell Vale
1 Soul-Guide Lantern
2 Lightning Bolt
4 Leyline of the Void
2 By Force
1 Alpine Moon
1 Abrade
2 Pyroblast
1 Opposition Agent
"
https://www.mtgtop8.com/event?e=38926&d=490383&f=VI,"1 Gitaxian Probe
1 Time Walk
1 Ancestral Recall
1 Mental Misstep
1 Black Lotus
1 Mana Crypt
1 Mox Emerald
1 Mox Pearl
1 Mox Jet
1 Mox Ruby
1 Mox Sapphire
1 Sol Ring
2 Force of Negation
2 Flusterstorm
4 Force of Will
1 True-Name Nemesis
4 Silvergill Adept
4 Thieving Skydiver
4 Tide Shaper
4 Vodalian Hexcatcher
4 Hullbreacher
1 Otawara, Soaring City
1 Strip Mine
4 Wasteland
4 Cavern of Souls
9 Island
Sideboard
1 The Tabernacle at Pendrell Vale
4 Surgical Extraction
1 Pithing Needle
1 Phantasmal Image
2 Grafdigger's Cage
4 Energy Flux
1 Brazen Borrower
1 Flusterstorm
"
https://www.mtgtop8.com/event?e=38926&d=490386&f=VI,"1 Bolas's Citadel
1 Vampiric Tutor
1 Mystical Tutor
1 Mental Misstep
1 Force of Negation
1 Brainstorm
1 Brain Freeze
1 Ancestral Recall
1 Abrade
1 Tinker
1 Time Walk
1 Ponder
1 Gitaxian Probe
1 Demonic Tutor
1 Dack Fayden
1 Black Lotus
1 Underworld Breach
1 Time Vault
1 Sol Ring
1 Sensei's Divining Top
1 Pithing Needle
1 Mox Sapphire
1 Mox Ruby
1 Mox Pearl
1 Mox Jet
1 Mox Emerald
1 Manifold Key
1 Narset, Parter of Veils
1 Mana Crypt
2 Pyroblast
3 Flusterstorm
4 Force of Will
1 Urza, Lord High Artificer
1 Sphinx of the Steel Wind
1 Opposition Agent
3 Hullbreacher
1 Tolarian Academy
1 Island
2 Scalding Tarn
2 Underground Sea
3 Misty Rainforest
3 Volcanic Island
4 Urza's Saga
Sideboard
1 The Tabernacle at Pendrell Vale
1 Soul-Guide Lantern
2 Lightning Bolt
4 Leyline of the Void
2 By Force
1 Alpine Moon
1 Abrade
2 Pyroblast
1 Opposition Agent
"
https://www.mtgtop8.com/event?e=38926&d=490385&f=VI,"1 Narset, Parter of Veils
1 Hullbreacher
1 Demonic Tutor
1 Gitaxian Probe
1 Merchant Scroll
1 Ponder
1 Time Walk
1 Tinker
1 Yawgmoth's Will
1 Ancestral Recall
1 Brainstorm
3 Flusterstorm
1 Force of Negation
4 Force of Will
1 Hurkyl's Recall
1 Mental Misstep
4 Paradoxical Outcome
3 Repeal
1 Vampiric Tutor
1 Black Lotus
1 Bolas's Citadel
1 Mana Crypt
1 Mana Vault
1 Manifold Key
1 Mox Emerald
1 Mox Jet
2 Mox Opal
1 Mox Pearl
1 Mox Ruby
1 Mox Sapphire
1 Pithing Needle
1 Sensei's Divining Top
1 Sol Ring
1 Time Vault
1 Island
4 Scalding Tarn
1 Tolarian Academy
2 Underground Sea
4 Urza's Saga
3 Volcanic Island
Sideboard
1 Hurkyl's Recall
1 Pithing Needle
2 Abrade
1 Lightning Bolt
1 Mountain
1 Nihil Spellbomb
1 Opposition Agent
2 Pyroblast
1 Relic of Progenitus
2 Shattering Spree
1 Sphinx of the Steel Wind
1 The Tabernacle at Pendrell Vale
"
